name,url,category,kind,note
Bryan Kelly,https://www.bryankellyacademic.org/,factors,personal,
Dacheng Xiu,https://dachxiu.chicagobooth.edu/,factors,personal,
Stefano Giglio,https://stefanogiglio.org/,factors,personal,
Serhiy Kozak,https://serhiykozak.com/,factors,personal,
Stefan Nagel,https://voices.uchicago.edu/stefannagel/,factors,personal,
Ralph Koijen,http://www.koijen.net/,factors,personal,
Jules van Binsbergen,https://sites.google.com/view/jules-van-binsbergen/,factors,personal,
Markus Pelger,https://mpelger.people.stanford.edu/,factors,profile,
Andreas Neuhierl,https://aneuhierl.github.io/,factors,personal,
Christopher Polk,https://personal.lse.ac.uk/polk/,factors,personal,
Shihao Gu,https://scholar.google.com/citations?user=IcNLCJcAAAAJ,factors,skip,google scholar - scraping prohibited
Guanhao Feng,https://gavinfeng702.com/,factors,personal,
Doron Avramov,https://www.runi.ac.il/en/faculty/davramov,factors,profile,
Zhiguo He,https://zhiguohe.net/,factors,personal,
Kewei Hou,https://fisher.osu.edu/people/hou.28,qfactor,profile,
Lu Zhang,https://theinvestmentcapm.com/,qfactor,personal,
Robert Novy-Marx,https://rnm.simon.rochester.edu/,qfactor,personal,
Campbell Harvey,http://people.duke.edu/~charvey/,qfactor,personal,
Andrew Y. Chen,https://sites.google.com/site/chenandrewy/,qfactor,personal,
Kent Daniel,https://www.kentdaniel.net/,qfactor,personal,
Andrea Frazzini,https://www.aqr.com/Insights/Research,practitioner,firm,
Antti Ilmanen,https://www.aqr.com/Insights/Research,practitioner,firm,
Lasse Heje Pedersen,https://www.lhpedersen.com/,practitioner,personal,
David Blitz,https://www.robeco.com/en-int/insights,practitioner,firm,
Guido Baltussen,https://personal.eur.nl/baltussen/,practitioner,personal,
Pim van Vliet,https://www.robeco.com/en-int/insights,practitioner,firm,
Rob Arnott,https://www.researchaffiliates.com/publications,practitioner,firm,
Nick Baltas,https://imperial.academia.edu/NickBaltas,practitioner,skip,academia.edu - login walled
Marcos Lopez de Prado,https://quantresearch.org/,practitioner,personal,
Tim Bollerslev,https://public.econ.duke.edu/~boller/,volatility,personal,
Torben Andersen,https://www.kellogg.northwestern.edu/academics-research/faculty/andersen_torben/,volatility,profile,
Peter Carr,https://engineering.nyu.edu/peter-carr,volatility,profile,
Grigory Vilkov,https://www.vilkov.net/,volatility,personal,
Ian Dew-Becker,https://www.dew-becker.org/,volatility,personal,
Hanno Lustig,https://gsb-faculty.stanford.edu/hanno-lustig/,macro,profile,
Monika Piazzesi,https://web.stanford.edu/~piazzesi/,macro,personal,
Anna Cieslak,https://sites.google.com/site/ancieslak/,macro,personal,
