name,sleeve,category,firm,s2_id,s2_h,s2_cites,s2_papers,needs_review,papers_harvested,papers_in_pool,pct_in_pool,downloadable,has_abstract,pool_cites_total,pool_cites_median,fwd_citers_total,pagerank_total,distinct_sleeves,top_sleeve,top_paper_title,top_paper_fwd_citers
Eugene Fama,equity_xs,,,65999231,85,182403,169,0,119,106,89.1,37,34,157324,244,36660,0.01634565,7,other,Common risk factors in the returns on stocks and bonds,8050
Tim Bollerslev,vol_options,volatility,,2702465,83,83748,181,0,99,92,92.9,49,41,62936,134,20603,0.00532907,9,other,Generalized autoregressive conditional heteroskedasticity,6017
Robert Engle,vol_options,,,35535410,76,108231,210,0,110,106,96.4,31,58,60007,74,17312,0.00607725,9,other,Autoregressive Conditional Heteroscedasticity with Estimates of the Variance of United Kingdom Inflation,5313
Andrei Shleifer,other,promoted,,145279878,160,288994,510,0,241,221,91.7,174,150,201195,162,15587,0.00435147,8,other,Noise Trader Risk in Financial Markets,2071
Clive Granger,other,,,49566894,93,130445,361,0,296,279,94.3,39,118,94837,40,11605,0.0092175,9,other,"Co-Integration and Error Correction: Representation, Estimation, and Testing",4177
Robert Merton,vol_options,,,2451644,47,63380,289,0,57,51,89.5,15,25,43467,98,9922,0.0061545,7,other,An Intertemporal Capital Asset Pricing Model,2056
James Hamilton,macro_regime,,,4765016,43,30737,90,0,61,58,95.1,19,32,27538,94,7374,0.00215064,4,other,A New Approach to the Economic Analysis of Nonstationary Time Series and the Business Cycle,2843
Myron Scholes,vol_options,,,39536819,28,41952,63,0,43,42,97.7,13,19,40582,76,7164,0.00653302,6,other,The Pricing of Options and Corporate Liabilities,5426
Darrell Duffie,rates_credit,,,3121291,71,30842,217,0,130,121,93.1,42,56,27975,87,7162,0.00229686,7,other,A YIELD‐FACTOR MODEL OF INTEREST RATES,964
Lars Peter Hansen,other,,,1796633,61,34926,247,0,155,148,95.5,44,51,32827,64,7124,0.00532264,5,other,LARGE SAMPLE PROPERTIES OF GENERALIZED METHOD OF,2377
Yakov Amihud,microstructure,,,102785782,50,27909,150,0,104,96,92.3,28,41,29475,37,7108,0.00150348,6,other,Amihud's illiquidity,3284
Stephen A. Ross,other,promoted,,145520631,56,54860,158,0,94,92,97.9,11,54,30581,80,6872,0.00460607,5,other,The arbitrage theory of capital asset pricing,1711
John C. Cox,rates_credit,,,47582388,16,21176,32,0,23,23,100.0,7,12,23140,268,6267,0.00382781,5,other,A Theory of the Term Structure of Interest Rates,2352
John Y. Campbell,other,promoted,,1801034,69,57635,235,0,130,111,85.4,59,69,33129,64,6256,0.00159141,7,other,Predicting Excess Stock Returns Out of Sample: Can Anything Beat the Historical Average?,1307
James Stock,macro_regime,,,82973203,69,41663,201,0,123,112,91.1,45,72,35038,80,6234,0.00274236,4,other,Forecasting Using Principal Components From a Large Number of Predictors,845
Sheridan Titman,equity_xs,,,52453175,90,74982,310,0,167,153,91.6,90,83,35028,64,6157,0.00181991,7,other,The Determinants of Capital Structure Choice,529
Halbert White,other,,,2149702798,77,88823,239,0,177,173,97.7,33,95,73486,52,5864,0.00631558,7,other,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,2463
Narasimhan Jegadeesh,equity_xs,,,66052545,36,23635,78,0,56,53,94.6,29,26,18494,68,5851,0.00108094,7,other,Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency,4042
Maureen O'Hara,microstructure,,,88087434,62,29147,130,0,111,102,91.9,43,53,20512,69,5710,0.00152147,7,other,"Price, trade size, and information in securities markets",844
Eduardo Schwartz,commodities,,,3323460,59,32921,137,0,108,105,97.2,17,58,24469,74,5669,0.00232976,9,other,A Simple Approach to Valuing Risky Fixed and Floating Rate Debt,679
Allan Timmermann,other,econometrics,man,4177701,71,23653,204,0,147,140,95.2,74,68,19957,60,5385,0.00099802,8,other,Handbook of Economic Forecasting,395
Mark Carhart,macro_regime,practitioner_macro,man,118961247,5,941,9,0,4,4,100.0,3,4,1217,317,5165,0.00074489,2,other,On Persistence in Mutual Fund Performance,4974
Robert Shiller,macro_regime,,,5736726,80,48254,355,0,235,222,94.5,85,110,27816,40,4841,0.00277261,5,other,Yield Spreads and Interest Rate Movements: A Bird's Eye View,795
Richard Thaler,equity_xs,,,2240116,67,80100,162,0,90,87,96.7,20,49,40993,130,4763,0.00167517,3,other,Does the Stock Market Overreact?,2019
Ole Barndorff-Nielsen,vol_options,,,1398951619,76,33516,359,0,282,277,98.2,108,136,37837,31,4699,0.00146543,4,other,Power and bipower variation with stochastic volatility and jumps,868
Albert Kyle,microstructure,,,144865543,22,15356,67,0,46,44,95.7,28,16,14137,14,4631,0.00132608,7,microstructure,Continuous Auctions and Insider Trading,3158
Lasse Heje Pedersen,equity_xs,practitioner,,2237174329,20,18894,50,0,22,19,86.4,16,15,7119,247,4548,0.0006325,6,microstructure,Market Liquidity and Funding Liquidity,1693
Peter Carr,vol_options,volatility,,143970068,48,17577,188,0,129,127,98.4,45,76,15194,21,4524,0.00091763,7,vol_options,Variance Risk Premiums,649
Josef Lakonishok,equity_xs,,,83311247,56,36021,97,0,66,66,100.0,19,44,19433,154,4518,0.00179166,6,other,Simple Technical Trading Rules and the Stochastic Properties of Stock Returns,618
William Sharpe,cross_asset,,,3159358,39,36111,106,0,61,60,98.4,13,34,13424,66,4505,0.00368779,4,other,Capital Asset Prices: A Theory of Market Equilibrium under Conditions of Risk,1781
Tarun Chordia,microstructure,,,104633810,42,16947,107,0,55,50,90.9,39,24,11579,45,4384,0.00062318,6,equity_xs,Commonality in liquidity,625
Daniel Kahneman,equity_xs,,,3683465,124,237020,290,0,194,185,95.4,43,109,138574,205,4361,0.00258123,3,other,Advances in prospect theory: Cumulative representation of uncertainty,1018
Francis X. Diebold,macro_regime,macro,,2262635900,39,21959,74,0,30,27,90.0,24,11,9419,100,4167,0.00059154,8,other,Modeling and Forecasting Realized Volatility,1651
Steven Heston,vol_options,,,3115777,24,14090,47,0,34,32,94.1,18,15,11426,17,3898,0.00079601,4,vol_options,A Closed-Form Solution for Options with Stochastic Volatility with Applications to Bond and Currency Options,2983
Whitney Newey,other,,,3646527,73,56882,228,0,150,144,96.0,69,95,37059,73,3856,0.00183322,3,other,Automatic Lag Selection in Covariance Matrix Estimation,797
Brad Barber,equity_xs,,,32410878,40,20924,79,0,57,48,84.2,17,23,19180,105,3836,0.00077898,3,other,"Boys will be Boys: Gender, Overconfidence, and Common Stock Investment",1043
Andrew Ang,equity_xs,,blackrock,144732711,38,19132,123,0,80,68,85.0,39,27,11049,25,3786,0.00049898,7,other,Coskewness using daily returns,2078
Kenneth Rogoff,fx,,,4009124,65,42114,235,0,130,122,93.8,47,54,28558,53,3781,0.00135236,7,other,Empirical exchange rate models of the seventies,1182
Robert Stambaugh,equity_xs,,,113247468,30,16576,74,0,35,29,82.9,11,13,8686,192,3697,0.00153228,3,other,The short of it,851
John Hull,vol_options,,,144470136,39,23240,102,0,78,78,100.0,14,46,14070,53,3686,0.00145743,4,other,The Pricing of Options on Assets with Stochastic Volatilities,1400
Philippe Jorion,cross_asset,,,81772556,47,15982,100,0,71,67,94.4,17,42,13228,140,3676,0.00102607,7,other,Bayes-Stein Estimation for Portfolio Analysis,399
David Hsieh,trend_cta,,,32308786,38,14563,164,0,50,50,100.0,14,30,11846,136,3558,0.00133138,10,other,The Risk in Hedge Fund Strategies: Theory and Evidence from Trend Followers,494
Jean-Philippe Bouchaud,macro_regime,practitioner_macro,,2524821,86,33134,592,0,510,501,98.2,311,303,31385,23,3320,0.00162653,9,other,Noise Dressing of Financial Correlation Matrices,214
Ananth Madhavan,microstructure,,,73479558,38,10456,130,0,98,96,98.0,26,71,9201,27,3187,0.00091446,8,other,Market Microstructure: A Survey,335
Kenneth French,equity_xs,,,72891652,41,86490,77,0,14,14,100.0,5,6,10045,166,3156,0.00168212,3,other,Expected stock returns and volatility,1562
Hendrik Bessembinder,commodities,,,118786084,36,10595,99,0,81,77,95.1,37,29,9985,37,3061,0.00061806,9,other,"Systematic Risk, Hedging Pressure, and Risk Premiums in Futures Markets",269
Andrea Frazzini,equity_xs,practitioner,aqr,2106499,21,8856,35,0,29,25,86.2,17,18,9037,114,2979,0.00032702,4,equity_xs,Betting against beta,949
Joel Hasbrouck,microstructure,,,97896536,35,11968,76,0,45,40,88.9,17,21,8842,100,2937,0.00070766,5,other,"One Security, Many Markets: Determining the Contributions to Price Discovery",531
Andrew Lo,trend_cta,,alphasimplex,118887609,44,23955,250,0,174,170,97.7,95,106,12542,19,2821,0.00080203,8,other,The Adaptive Markets Hypothesis,504
Gary Koop,other,econometrics,,1721269,56,16570,204,0,139,139,100.0,89,70,13193,32,2801,0.00076629,6,other,Impulse response analysis in nonlinear multivariate models,1535
Ben Bernanke,macro_regime,,,50823818,60,29743,32,0,69,65,94.2,24,34,14014,45,2760,0.00075401,5,other,What Explains the Stock Market's Reaction to Federal Reserve Policy?,721
Lucio Sarno,fx,,,152110492,51,11343,143,0,102,100,98.0,50,59,9521,49,2617,0.00042443,9,other,Nonlinear Mean‐Reversion in Real Exchange Rates: Toward a Solution To the Purchasing Power Parity Puzzles,383
David Hirshleifer,equity_xs,behavioural,,1991863,49,29907,156,0,99,91,91.9,49,52,17664,82,2561,0.00049821,5,other,"Limited attention, information disclosure, and financial reporting",501
Kenneth Froot,fx,,,72716376,64,29468,178,0,69,64,92.8,40,40,14115,90,2549,0.00072596,9,other,Anomalies: Foreign Exchange,333
Robert J. Hodrick,fx,fx_basis,,10806338,36,25909,97,0,62,56,90.3,29,30,12671,36,2485,0.00070107,6,other,Postwar U.S. Business Cycles: An Empirical Investigation,816
Gary Gorton,commodities,,,2675724,73,23222,270,0,143,46,32.2,31,28,10922,80,2473,0.00076947,7,other,Facts and Fantasies about Commodity Futures,629
Stefan Nagel,equity_xs,factors,,50373121,30,12054,74,0,39,31,79.5,19,15,8388,52,2432,0.0002718,6,other,"Short sales, institutional investors and the cross-section of stock returns",517
Lubos Pastor,equity_xs,,,2290684500,34,23441,54,0,18,12,66.7,9,7,4304,199,2294,0.00031598,5,other,Political Uncertainty and Risk Premia,852
Greg Duffee,rates_credit,term_structure,,101928684,20,5710,54,0,23,21,91.3,12,13,5459,106,2178,0.00039168,3,other,Term Premia and Interest Rate Forecasts in Affine Models,750
Peter Christoffersen,vol_options,,,35905839,37,9169,111,0,70,65,92.9,33,24,5953,42,2157,0.00044506,9,other,Evaluating Interval Forecasts,970
Francis Longstaff,vol_options,,,4269547,56,23172,167,0,71,59,83.1,30,41,7867,69,2107,0.00047128,9,other,The subprime credit crisis and contagion in financial markets,215
Campbell Harvey,equity_xs,qfactor,,1829590,73,33173,274,0,164,161,98.2,86,84,27590,52,1909,0.00056211,6,other,The Separation of Ownership and Control in East Asian Corporations,243
