author_id,name,n_papers,h_corpus,cites_corpus,h_openalex,works_openalex,cites_openalex,institution,country,top_sleeve,distinct_sleeves,fwd_citers_total,top_paper_title,top_paper_cites
A5110890240,Andrei Shleifer,191,113,202652,152,523,233591,National Bureau of Economic Research,,other,7,17184,Law and Finance,18294
A5111995000,Daniel Kahneman,181,111,216519,158,373,394268,Princeton University,,other,2,8042,Prospect Theory: An Analysis of Decision under Risk,47662
A5047040699,Robert F. Engle,165,84,116605,110,476,138576,National Bureau of Economic Research,,other,9,26920,"Co-Integration and Error Correction: Representation, Estimation, and Testing",32133
A5091820687,Eugene F. Fama,115,78,189462,117,240,261530,University of Chicago,US,other,7,43849,Common risk factors in the returns on stocks and bonds,27972
A5105834520,Clive W. J. Granger,238,78,49947,114,517,99397,University of California San Diego,US,other,9,6738,Spurious regressions in econometrics,6237
A5004307122,M. Hashem Pesaran,109,77,117012,107,798,149418,University of Southern California,GB,other,8,12042,Bounds testing approaches to the analysis of level relationships,20773
A5071230295,Elie Bouri,216,77,20960,92,465,28352,Kyung Hee University,LB,commodities,9,9785,On the hedge and safe haven properties of Bitcoin: Is it really more than a diversifier?,1308
A5088627183,Campbell R. Harvey,189,76,46555,110,460,81901,National Bureau of Economic Research,,other,11,10884,Coskewness,5748
A5052033177,Muhammad Shahbaz,150,76,25443,136,853,61839,Beijing Institute of Technology,FR,macro_regime,8,3495,"Economic Growth, Energy Consumption, Financial Development, International Trade and CO2 Emissions, in Indonesia",1337
A5113502697,James H. Stock,130,74,52563,101,375,80451,National Bureau of Economic Research,US,other,5,8499,Instrumental Variables Regression with Weak Instruments,7427
A5015669404,Rangan Gupta,374,72,19740,83,1573,31574,Lebanese American University,ZA,macro_regime,10,8416,Does Bitcoin hedge global uncertainty? Evidence from wavelet-based quantile-in-quantile regressions,719
A5011644728,Sheridan Titman,163,71,54121,90,324,68359,National Bureau of Economic Research,HK,other,8,12560,Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency,11251
A5081252843,Richard H. Thaler,113,70,75452,111,271,112440,University of Chicago,BE,other,4,8230,Does the Stock Market Overreact?,7291
A5051645674,Robert J. Shiller,197,70,37683,95,510,52068,Ford Foundation,US,other,6,8225,The Dividend-Price Ratio and Expectations of Future Dividends and Discount Factors,4009
A5103128342,Mark W. Watson,105,70,41444,93,332,53329,Princeton University,US,other,6,8370,A Simple Estimator of Cointegrating Vectors in Higher Order Integrated Systems,5002
A5027298282,Hyun Song Shin,164,69,20152,85,488,28840,Bank of Korea,CH,other,9,3388,Social Value of Public Information,2014
A5047267836,Allan Timmermann,137,67,18346,74,324,23951,University of California San Diego,GB,other,8,5489,Chapter 4 Forecast Combinations,1328
A5110341254,Ole E. Barndorff–Nielsen,249,67,31518,79,459,33969,Aarhus University,DK,other,4,5559,Econometric Analysis of Realized Volatility and its Use in Estimating Stochastic Volatility Models,2326
A5065176405,Kenneth Rogoff,144,67,39559,98,499,61008,National Bureau of Economic Research,,other,7,5509,Empirical exchange rate models of the seventies,4201
A5113931380,Whitney K. Newey,118,66,52702,70,292,67917,National Bureau of Economic Research,US,other,2,9083,"A Simple, Positive Semi-Definite, Heteroskedasticity and Autocorrelation Consistent Covariance Matrix",17438
A5113450091,John Y. Campbell,113,66,50659,91,673,65979,National Bureau of Economic Research,US,other,6,12146,The Econometrics of Financial Markets,5082
A5020421565,Darrell Duffie,120,66,33732,83,297,44488,National Bureau of Economic Research,,other,7,9994,Dynamic Asset Pricing Theory.,3080
A5103455390,Halbert White,166,64,78709,71,344,84070,University of California San Diego,,other,6,6854,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,26392
A5004620923,René M. Stulz,108,64,44832,121,599,81464,Fisher College,US,other,8,5529,Managerial discretion and optimal financing policies,3793
A5038883380,Shawkat Hammoudeh,145,64,13972,83,434,21729,University of Economics Ho Chi Minh City,FR,commodities,10,5311,"Dynamics of oil price, precious metal prices, and exchange rate",519
A5002088217,Thomas J. Sargent,113,62,25426,93,618,45198,New York University,US,other,7,3927,"""Rational"" Expectations, the Optimal Monetary Instrument, and the Optimal Money Supply Rule",2192
A5018047996,Maurice Obstfeld,77,62,19838,80,430,31714,National Bureau of Economic Research,,macro_regime,6,2216,Foundations of International Macroeconomics,3090
A5010285399,Brian M. Lucey,134,62,15976,82,704,30343,The University of Sydney,IE,other,10,5437,Exploring the dynamic relationships between cryptocurrencies and other financial assets,1239
A5048052041,Chien‐Chiang Lee,167,62,13821,112,655,43933,University of Macau,CN,macro_regime,8,2666,Energy consumption and GDP in developing countries: A cointegrated panel analysis,951
A5109980718,Andrew W. Lo,214,61,31442,82,667,53575,Santa Fe Institute,,other,8,8036,The Econometrics of Financial Markets,5082
A5013070084,Maureen O’Hara,113,61,26579,77,221,35168,Cornell University,US,other,7,7134,Information and the Cost of Capital,3159
A5112084481,Jeffrey A. Frankel,81,61,18097,102,673,45533,Harvard University Press,US,macro_regime,8,2805,The Endogenity of the Optimum Currency Area Criteria,2559
A5030330197,Paresh Kumar Narayan,119,61,16750,87,693,31884,Australian Regenerative Medicine Institute,AU,macro_regime,9,3145,The saving and investment nexus for China: evidence from cointegration tests,3764
A5062136150,Aviral Kumar Tiwari,190,61,12633,77,720,24972,Magadh University,IN,macro_regime,10,4386,"The effects of financial development, economic growth, coal consumption and trade openness on CO2 emissions in South Afr",853
A5002503825,Eduardo S. Schwartz,125,60,27680,73,264,43675,National Bureau of Economic Research,,other,10,6494,Valuing American Options by Simulation: A Simple Least-Squares Approach,3461
A5083813378,Jean‐Philippe Bouchaud,264,60,19658,74,556,25701,Académie de Paris,FR,other,8,1989,"Anomalous diffusion in disordered media: Statistical mechanisms, models and physical applications",3257
A5003597161,Viral V. Acharya,126,59,18349,91,562,39997,National Bureau of Economic Research,GB,other,9,5050,Asset pricing with liquidity risk,2931
A5020392888,Mark P. Taylor,132,59,17032,76,663,25704,Center for Economic and Policy Research,US,macro_regime,9,4663,The use of technical analysis in the foreign exchange market,1145
A5078558986,Shouyang Wang,173,59,11803,99,1358,41443,Chinese Academy of Social Sciences,CN,other,9,2567,Forecasting stock market movement direction with support vector machine,1137
A5071003992,Lars Peter Hansen,125,58,36268,75,365,45591,University of Chicago,,other,7,7968,LARGE SAMPLE PROPERTIES OF GENERALIZED METHOD OF,13235
A5102799463,Tim Bollerslev,70,56,65431,76,139,75677,Duke University,DK,vol_options,6,22137,Generalized autoregressive conditional heteroskedasticity,22525
A5076177583,Peter C.B. Phillips,83,56,54910,88,941,73987,University of Auckland,US,other,9,7917,Testing for a unit root in time series regression,18160
A5067662277,David Hirshleifer,136,55,32340,70,368,41600,University of Southern California,,other,6,6873,Investor Psychology and Security Market Under‐ and Overreactions,5789
A5109487336,Jeremy C. Stein,70,55,39838,96,281,64593,Dana-Farber/Harvard Cancer Center,,other,8,7050,"Efficient Capital Markets, Inefficient Firms: A Model of Myopic Corporate Behavior",2725
A5035390303,Stijn Claessens,92,55,25842,72,310,32718,Yale University,US,other,6,1819,The Separation of Ownership and Control in East Asian Corporations,5795
A5043537207,Barry Eichengreen,87,54,15052,114,1379,50016,World Bank,US,macro_regime,10,1552,Is the crisis problem growing more severe?,1305
A5066939801,Gary Koop,159,54,15845,58,393,18043,University of Strathclyde,CA,other,8,3476,Impulse response analysis in nonlinear multivariate models,5133
A5021863807,Walid Mensi,121,54,9226,63,240,12275,Sultan Qaboos University,OM,commodities,8,4087,"Correlations and volatility spillovers across commodity and stock markets: Linking energies, food, and gold",538
A5072791098,Michael Woodford,65,53,25567,97,431,44117,Columbia University,US,macro_regime,5,4201,INTEREST AND PRICES: FOUNDATIONS OF A THEORY OF MONETARY POLICY,5729
A5086723146,Geert Bekaert,88,53,21734,90,311,41034,Center for Economic and Policy Research,US,macro_regime,10,6690,Does financial liberalization spur growth?,2053
A5108432458,Allen N. Berger,66,53,40881,113,657,69495,University of South Carolina,US,other,6,3425,The economics of small business finance: The roles of private equity and debt markets in the financial growth cycle,3739
A5021804779,Syed Jawad Hussain Shahzad,134,53,11004,66,308,16721,Montpellier Business School,FR,commodities,8,4629,Is Bitcoin a better safe-haven investment than gold and commodities?,644
A5083070771,Qiang Ji,106,53,9579,82,367,23254,Chinese Academy of Sciences,CN,commodities,8,4059,Searching for safe-haven assets during the COVID-19 pandemic,607
A5054650430,Ben Bernanke,82,52,49730,84,713,62585,Brookings Institution,US,other,6,8615,"Agency Costs, Net Worth, And Business Fluctuations",4435
A5084412348,Francis X. Diebold,90,52,29739,98,495,71153,University of Pennsylvania,,other,8,12722,Better to give than to receive: Predictive directional measurement of volatility spillovers,5720
A5055933334,Lucio Sarno,122,52,10650,61,268,15280,University of Cambridge,GB,other,9,3333,Nonlinear Mean‐Reversion in Real Exchange Rates: Toward a Solution To the Purchasing Power Parity Puzzles,1043
A5106127381,Frederic S. Mishkin,63,52,14903,76,374,24701,National Bureau of Economic Research,US,macro_regime,4,2316,Symposium on the Monetary Transmission Mechanism,1134
A5111595230,Josef Lakonishok,71,51,23451,66,129,30933,,,other,6,6098,Simple Technical Trading Rules and the Stochastic Properties of Stock Returns,2388
A5043753481,Robert S. Pindyck,109,51,27178,64,319,43320,IIT@MIT,,other,8,2555,Investment under Uncertainty,8860
A5080219284,Carmen Reinhart,71,51,33243,86,532,52110,National Bureau of Economic Research,US,rates_credit,6,3604,The Twin Crises: The Causes of Banking and Balance-of-Payments Problems,5035
A5101655460,Duc Khuong Nguyen,97,51,9863,66,399,16920,Vinh University,FR,commodities,9,4048,Volatility spillovers between oil prices and stock sector returns: Implications for portfolio management,666
A5051953699,Ronald MacDonald,109,51,8376,57,470,11795,Adam Smith Institute,DE,macro_regime,9,1713,Exchange Rates and Economic Fundamentals: A Methodological Comparison of Beers and Feers,711
A5086549864,Stephen A. Ross,85,50,51905,69,289,69504,University of Pennsylvania,US,other,7,12551,The arbitrage theory of capital asset pricing,7206
A5041928817,Avanidhar Subrahmanyam,110,49,27305,75,367,36634,"University of California, Los Angeles",US,microstructure,7,9157,Investor Psychology and Security Market Under‐ and Overreactions,5789
A5074218217,Joseph E. Stiglitz,69,49,50284,173,1645,166944,National Bureau of Economic Research,,other,8,4723,Credit Rationing in Markets with Imperfect Information,12846
A5042883498,Robert W. Vishny,62,49,122601,80,161,136833,University of Chicago,US,other,7,9121,Law and Finance,18294
A5088703304,James D. Hamilton,76,49,41966,71,339,57882,National Bureau of Economic Research,,other,5,10177,Time Series Analysis.,11197
A5051966809,Franklin Allen,71,49,17211,86,479,36822,European Corporate Governance Institute,US,other,8,3415,The foundations of financial inclusion: Understanding ownership and use of formal accounts,1363
A5068715764,Éric Ghysels,109,49,14894,66,470,22471,University of North Carolina at Chapel Hill,US,macro_regime,8,5727,5 Stochastic volatility,1210
A5001100407,Xuan Vinh Vo,124,49,7427,69,382,17050,University of Economics Ho Chi Minh City,VN,commodities,8,2457,The effect of financial development on renewable energy demand: The case of developing countries,427
A5039331964,Muhammad Abubakr Naeem,92,49,6806,65,261,12778,United Arab Emirates University,IE,other,8,2341,Is Natural Resource Abundance a Stimulus for Financial Development in the USA,311
A5014074156,Francis A. Longstaff,83,48,17627,60,197,21790,"University of California, Los Angeles",US,other,9,4680,Valuing American Options by Simulation: A Simple Least-Squares Approach,3461
A5047291984,Neil Shephard,59,48,21530,70,273,26844,University of Sheffield,,other,6,4659,Econometric Analysis of Realized Volatility and its Use in Estimating Stochastic Volatility Models,2326
A5108500566,George Andrew Karolyi,88,48,14906,67,212,24149,Cornell University,US,other,9,3055,Why are foreign firms listed in the U.S. worth more?,1699
A5050337531,David Roubaud,76,48,13222,68,235,24927,Gulf University for Science & Technology,FR,commodities,9,5891,On the hedge and safe haven properties of Bitcoin: Is it really more than a diversifier?,1308
A5089891264,Feng Ma,103,48,6167,54,180,8475,Southwest Jiaotong University,CN,vol_options,6,3217,Climate policy uncertainty and world renewable energy index volatility forecasting,352
A5101895488,Ricardo J. Caballero,68,47,8880,75,393,23185,Moscow Institute of Thermal Technology,RU,macro_regime,5,1879,Plant-Level Adjustment and Aggregate Investment Dynamics,493
A5047191177,Leonardo Gambacorta,62,47,11936,65,262,14548,Centre for Economic Policy Research,AR,macro_regime,5,1418,Does bank capital affect lending behavior,809
A5101545219,Sang Hoon Kang,98,47,6107,55,242,9208,Pusan National University,KR,commodities,8,2646,"Dynamic spillover effects among crude oil, precious metal, and agricultural commodity futures markets",550
A5045702318,Michael McAleer,154,47,9038,65,1038,18255,Tinbergen Institute,AU,vol_options,8,2589,ASYMPTOTIC THEORY FOR A VECTOR ARMA-GARCH MODEL,926
A5041631912,Kenneth R. French,62,46,96610,73,135,132975,Dartmouth College,US,other,6,30177,Common risk factors in the returns on stocks and bonds,27972
A5030225272,Marcel Fratzscher,59,46,8734,60,469,14550,German Institute for Economic Research,DE,macro_regime,7,2060,Central Bank Communication and Monetary Policy: A Survey of Theory and Evidence,1403
A5019257888,Yakov Amihud,107,45,32168,58,172,33365,New York University,US,other,6,8090,Amihud's illiquidity,10530
A5025032749,Torben G. Andersen,83,45,25137,59,204,32001,,,other,8,10629,Modeling and Forecasting Realized Volatility,3818
A5004176790,Lutz Kilian,59,45,16622,75,393,28381,Federal Reserve Bank of Dallas,GB,other,6,4303,THE IMPACT OF OIL PRICE SHOCKS ON THE U.S. STOCK MARKET*,1856
A5036609304,Lars E.O. Svensson,56,45,14500,74,431,23462,National Bureau of Economic Research,SE,macro_regime,7,2005,Inflation Forecast Targeting: Implementing and Monitoring Inflation Targets,1967
A5068383641,Victor Chernozhukov,59,45,16565,78,500,28158,IIT@MIT,RU,other,4,1020,Double/debiased machine learning for treatment and structural parameters,4061
A5049827825,Jakob de Haan,85,45,8028,82,663,23442,Ifo Institute for Economic Research,NL,macro_regime,7,1221,Central Bank Communication and Monetary Policy: A Survey of Theory and Evidence,1403
A5066686727,Robert W. Faff,131,45,7584,63,668,16634,Bond University,AU,equity_xs,10,1996,Corporate Sustainability Performance and Idiosyncratic Risk: A Global Perspective,576
A5088507879,Yu Wei,83,45,5872,56,182,10407,Yunnan University of Finance And Economics,CN,commodities,7,2786,Forecasting crude oil market volatility: Further evidence using GARCH-class models,383
A5112033267,Martin Eichenbaum,54,44,17716,84,319,35217,Northwestern University,US,macro_regime,7,4031,When Is the Government Spending Multiplier Large?,1869
A5064063645,Peter Carr,114,44,16819,53,228,19008,New York University,US,vol_options,8,4831,Option valuation using the fast Fourier transform,2293
A5103079011,Ross Levine,53,44,61069,113,449,105741,National Bureau of Economic Research,US,other,6,3875,Finance and Growth: Schumpeter Might Be Right,8659
A5055304783,Frank J. Fabozzi,287,44,7708,66,1629,18347,Johns Hopkins University,FR,cross_asset,9,1859,60 Years of portfolio optimization: Practical challenges and current trends,588
A5019480291,Gazi Salah Uddin,82,44,6143,61,375,11731,Linköping University,SE,commodities,9,2160,Green credit policy and firm performance: What we learn from China,431
A5011309730,Yudong Wang,97,44,6319,50,235,9173,Nanjing University of Science and Technology,CN,commodities,7,2942,Forecasting crude oil market volatility: Further evidence using GARCH-class models,383
A5103459842,Jonathan H. Wright,68,43,9131,56,270,14695,National Bureau of Economic Research,US,macro_regime,7,2741,GMM with Weak Identification,839
